records,phase,workload,operation,contract_version,runs,rust_median_ns_per_op,rust_min_ns_per_op,rust_max_ns_per_op,rust_cv,rust_median_peak_rss_bytes,rust_max_peak_rss_bytes,dolt_go_median_ns_per_op,dolt_go_min_ns_per_op,dolt_go_max_ns_per_op,dolt_go_cv,dolt_go_median_peak_rss_bytes,dolt_go_max_peak_rss_bytes,winner,winner_speedup
10000,fresh,append,point_read,prolly-compare-v1,3,144.483,143.025,145.717,0.007618,6799360,6946816,367.946,367.596,370.167,0.003089,30457856,30539776,rust,2.546632
10000,fresh,append,range_scan,prolly-compare-v1,3,4.517,4.517,4.588,0.007356,6799360,6946816,20.475,20.475,20.533,0.001343,30457856,30539776,rust,4.533177
10000,fresh,append,write,prolly-compare-v1,3,281.587,280.892,285.529,0.007224,6799360,6946816,618.579,597.383,660.587,0.041990,30457856,30539776,rust,2.196757
10000,fresh,clustered,point_read,prolly-compare-v1,3,145.525,143.892,162.417,0.055603,6848512,6881280,367.350,366.425,377.117,0.013062,30507008,30507008,rust,2.524309
10000,fresh,clustered,range_scan,prolly-compare-v1,3,4.583,4.562,5.217,0.063408,6848512,6881280,20.679,20.442,20.913,0.009295,30507008,30507008,rust,4.511836
10000,fresh,clustered,write,prolly-compare-v1,3,282.587,282.558,322.792,0.064056,6848512,6881280,644.888,630.892,648.454,0.011817,30507008,30507008,rust,2.282081
10000,fresh,random,point_read,prolly-compare-v1,3,144.387,143.204,177.125,0.101474,6815744,6881280,367.954,367.875,369.137,0.001568,30539776,30539776,rust,2.548380
10000,fresh,random,range_scan,prolly-compare-v1,3,4.854,4.554,5.675,0.094225,6815744,6881280,20.517,20.500,20.917,0.009330,30539776,30539776,rust,4.226587
10000,fresh,random,write,prolly-compare-v1,3,358.925,334.479,409.242,0.084682,6815744,6881280,713.571,712.504,716.554,0.002400,30539776,30539776,rust,1.988078
10000,mutation,append,point_read,prolly-compare-v1,3,101.077,100.231,101.859,0.006579,7831552,7880704,332.667,330.756,335.388,0.005708,29458432,29523968,rust,3.291222
10000,mutation,append,range_scan,prolly-compare-v1,3,5.449,5.250,5.462,0.017976,7831552,7880704,21.109,21.061,21.320,0.005328,29458432,29523968,rust,3.874126
10000,mutation,append,write,prolly-compare-v1,3,272.528,272.292,281.222,0.015091,7831552,7880704,792.639,767.139,797.014,0.016769,29458432,29523968,rust,2.908468
10000,mutation,clustered,point_read,prolly-compare-v1,3,92.721,91.660,99.314,0.035804,9371648,9519104,335.192,331.378,355.327,0.030844,29097984,29163520,rust,3.615058
10000,mutation,clustered,range_scan,prolly-compare-v1,3,5.348,5.116,5.804,0.052740,9371648,9519104,21.290,21.181,22.580,0.029294,29097984,29163520,rust,3.981024
10000,mutation,clustered,write,prolly-compare-v1,3,596.333,546.583,646.139,0.068153,9371648,9519104,643.222,628.958,680.653,0.033489,29097984,29163520,rust,1.078629
10000,mutation,random,point_read,prolly-compare-v1,3,144.064,144.042,144.474,0.001379,12517376,12828672,372.314,371.285,372.388,0.001353,29147136,29409280,rust,2.584365
10000,mutation,random,range_scan,prolly-compare-v1,3,5.420,5.377,5.634,0.020527,12517376,12828672,20.583,20.493,20.743,0.005015,29147136,29409280,rust,3.797475
10000,mutation,random,write,prolly-compare-v1,3,1774.708,1773.208,1788.847,0.003960,12517376,12828672,1430.486,1422.611,1438.070,0.004412,29147136,29409280,dolt-go,1.240633
50000,fresh,append,point_read,prolly-compare-v1,3,165.770,165.195,177.143,0.032483,21872640,22691840,428.072,427.470,451.627,0.025816,73809920,73809920,rust,2.582323
50000,fresh,append,range_scan,prolly-compare-v1,3,4.404,4.403,4.794,0.040592,21872640,22691840,20.609,20.597,22.108,0.033627,73809920,73809920,rust,4.679476
50000,fresh,append,write,prolly-compare-v1,3,270.795,270.226,299.988,0.049576,21872640,22691840,666.183,650.675,711.427,0.038121,73809920,73809920,rust,2.460099
50000,fresh,clustered,point_read,prolly-compare-v1,3,165.083,164.969,165.827,0.002303,21889024,22462464,429.299,427.988,431.767,0.003646,72810496,72843264,rust,2.600513
50000,fresh,clustered,range_scan,prolly-compare-v1,3,4.344,4.338,4.406,0.007050,21889024,22462464,20.621,20.538,20.703,0.003267,72810496,72843264,rust,4.746796
50000,fresh,clustered,write,prolly-compare-v1,3,313.082,312.007,318.397,0.008883,21889024,22462464,694.950,691.328,732.974,0.026665,72810496,72843264,rust,2.219708
50000,fresh,random,point_read,prolly-compare-v1,3,165.643,165.148,166.435,0.003197,21839872,22446080,430.657,429.562,449.418,0.020875,75120640,75186176,rust,2.599903
50000,fresh,random,range_scan,prolly-compare-v1,3,4.468,4.356,4.522,0.015539,21839872,22446080,20.732,20.626,22.101,0.031758,75120640,75186176,rust,4.639678
50000,fresh,random,write,prolly-compare-v1,3,342.349,340.368,342.595,0.002918,21839872,22446080,804.433,790.615,932.427,0.075779,75120640,75186176,rust,2.349745
50000,mutation,append,point_read,prolly-compare-v1,3,102.658,102.424,103.081,0.002647,30425088,31145984,374.479,362.439,401.120,0.042605,65814528,65847296,rust,3.647840
50000,mutation,append,range_scan,prolly-compare-v1,3,4.654,4.369,4.863,0.043756,30425088,31145984,21.261,20.944,23.599,0.053969,65814528,65847296,rust,4.568456
50000,mutation,append,write,prolly-compare-v1,3,255.244,251.403,267.650,0.026863,30425088,31145984,934.697,917.481,980.872,0.028342,65814528,65847296,rust,3.661969
50000,mutation,clustered,point_read,prolly-compare-v1,3,92.881,92.763,99.309,0.032198,34635776,35094528,361.540,360.669,378.073,0.021832,65404928,65568768,rust,3.892514
50000,mutation,clustered,range_scan,prolly-compare-v1,3,4.487,4.454,4.581,0.011980,34635776,35094528,21.333,21.092,22.615,0.030818,65404928,65568768,rust,4.754523
50000,mutation,clustered,write,prolly-compare-v1,3,470.103,465.383,502.633,0.034545,34635776,35094528,757.572,735.572,782.644,0.025351,65404928,65568768,rust,1.611503
50000,mutation,random,point_read,prolly-compare-v1,3,168.756,168.322,170.194,0.004731,54509568,55197696,437.040,437.037,439.331,0.002468,58212352,65765376,rust,2.589770
50000,mutation,random,range_scan,prolly-compare-v1,3,4.385,4.378,4.448,0.007091,54509568,55197696,20.844,20.791,20.906,0.002258,58212352,65765376,rust,4.752984
50000,mutation,random,write,prolly-compare-v1,3,1741.114,1726.306,1762.944,0.008632,54509568,55197696,1557.394,1342.036,1657.453,0.086641,58212352,65765376,dolt-go,1.117966
1000000,fresh,append,point_read,prolly-compare-v1,3,408.417,406.188,418.299,0.012806,284721152,286081024,890.265,886.832,893.217,0.002931,394149888,407158784,rust,2.179795
1000000,fresh,append,range_scan,prolly-compare-v1,3,4.679,4.596,5.086,0.044718,284721152,286081024,23.742,23.727,23.872,0.002746,394149888,407158784,rust,5.074305
1000000,fresh,append,write,prolly-compare-v1,3,270.289,269.365,273.313,0.006222,284721152,286081024,957.194,941.348,986.099,0.019268,394149888,407158784,rust,3.541375
1000000,fresh,clustered,point_read,prolly-compare-v1,3,403.792,400.577,449.375,0.053323,286179328,286687232,923.818,902.385,1049.471,0.067683,443105280,443334656,rust,2.287856
1000000,fresh,clustered,range_scan,prolly-compare-v1,3,4.533,4.530,4.758,0.023160,286179328,286687232,24.224,24.083,25.022,0.016918,443105280,443334656,rust,5.344009
1000000,fresh,clustered,write,prolly-compare-v1,3,371.211,356.417,373.367,0.020528,286179328,286687232,836.846,814.105,861.829,0.023270,443105280,443334656,rust,2.254365
1000000,fresh,random,point_read,prolly-compare-v1,3,403.128,398.483,426.731,0.030206,286097408,286785536,943.063,938.510,966.538,0.012936,1296121856,1296203776,rust,2.339364
1000000,fresh,random,range_scan,prolly-compare-v1,3,4.590,4.547,4.869,0.030581,286097408,286785536,24.880,24.806,24.987,0.002988,1296121856,1296203776,rust,5.419887
1000000,fresh,random,write,prolly-compare-v1,3,525.397,519.862,585.790,0.054921,286097408,286785536,2330.478,2277.356,2381.385,0.018231,1296121856,1296203776,rust,4.435650
1000000,mutation,append,point_read,prolly-compare-v1,3,128.653,128.605,129.573,0.003454,336969728,338198528,470.667,469.788,482.766,0.012482,376733696,377339904,rust,3.658425
1000000,mutation,append,range_scan,prolly-compare-v1,3,5.151,4.976,5.194,0.018458,336969728,338198528,24.168,24.069,26.755,0.049749,376733696,377339904,rust,4.692252
1000000,mutation,append,write,prolly-compare-v1,3,269.474,269.434,269.637,0.000326,336969728,338198528,1023.216,1001.202,1107.558,0.043906,376733696,377339904,rust,3.797085
1000000,mutation,clustered,point_read,prolly-compare-v1,3,110.106,109.816,114.124,0.017656,396951552,397230080,471.683,464.071,491.997,0.024768,376078336,376160256,rust,4.283901
1000000,mutation,clustered,range_scan,prolly-compare-v1,3,5.059,4.953,5.614,0.055650,396951552,397230080,24.061,23.955,24.459,0.008981,376078336,376160256,rust,4.756491
1000000,mutation,clustered,write,prolly-compare-v1,3,497.326,472.162,503.298,0.027482,396951552,397230080,707.739,700.805,758.087,0.035344,376078336,376160256,rust,1.423091
1000000,mutation,random,point_read,prolly-compare-v1,3,396.709,396.686,396.758,0.000075,766476288,766476288,1122.100,983.695,1147.219,0.066308,904593408,904642560,rust,2.828519
1000000,mutation,random,range_scan,prolly-compare-v1,3,4.718,4.708,4.732,0.002094,766476288,766476288,25.974,24.871,26.159,0.022148,904593408,904642560,rust,5.505629
1000000,mutation,random,write,prolly-compare-v1,3,1980.422,1956.072,2141.991,0.040720,766476288,766476288,4025.504,3983.838,4215.010,0.024689,904593408,904642560,rust,2.032649
5000000,fresh,append,point_read,prolly-compare-v1,3,676.758,670.844,678.201,0.004714,1369653248,1372504064,1159.733,1144.567,1161.346,0.006543,1868693504,1904230400,rust,1.713660
5000000,fresh,append,range_scan,prolly-compare-v1,3,4.984,4.958,5.154,0.017283,1369653248,1372504064,33.055,32.792,34.525,0.022792,1868693504,1904230400,rust,6.631783
5000000,fresh,append,write,prolly-compare-v1,3,272.293,267.269,277.987,0.016068,1369653248,1372504064,1028.678,1016.636,1038.721,0.008783,1868693504,1904230400,rust,3.777834
5000000,fresh,clustered,point_read,prolly-compare-v1,3,673.431,671.888,761.951,0.059932,1369669632,1373569024,1171.149,1155.235,1187.737,0.011329,2106032128,2109227008,rust,1.739077
5000000,fresh,clustered,range_scan,prolly-compare-v1,3,5.117,4.988,5.159,0.014276,1369669632,1373569024,34.198,33.834,35.014,0.014360,2106032128,2109227008,rust,6.682810
5000000,fresh,clustered,write,prolly-compare-v1,3,394.239,391.295,400.969,0.010237,1369669632,1373569024,861.234,853.986,899.676,0.023002,2106032128,2109227008,rust,2.184548
5000000,fresh,random,point_read,prolly-compare-v1,3,675.337,673.584,682.825,0.005917,1369489408,1372569600,1236.780,1197.855,1341.377,0.048148,5752389632,5835849728,rust,1.831352
5000000,fresh,random,range_scan,prolly-compare-v1,3,5.018,4.980,5.117,0.011484,1369489408,1372569600,36.632,36.168,37.830,0.018987,5752389632,5835849728,rust,7.300723
5000000,fresh,random,write,prolly-compare-v1,3,748.630,744.144,749.604,0.003181,1369489408,1372569600,2542.648,2482.981,2658.663,0.028477,5752389632,5835849728,rust,3.396399
5000000,mutation,append,point_read,prolly-compare-v1,3,125.594,125.555,125.650,0.000309,1645494272,1645543424,496.205,492.462,540.677,0.042960,1706033152,1706115072,rust,3.950873
5000000,mutation,append,range_scan,prolly-compare-v1,3,5.340,5.293,6.293,0.081618,1645494272,1645543424,34.054,33.765,41.085,0.093234,1706033152,1706115072,rust,6.376964
5000000,mutation,append,write,prolly-compare-v1,3,286.803,271.921,297.328,0.036527,1645494272,1645543424,1070.985,1059.982,1072.571,0.005243,1706033152,1706115072,rust,3.734214
5000000,mutation,clustered,point_read,prolly-compare-v1,3,111.807,111.586,112.652,0.004101,1915371520,1944862720,493.080,490.976,541.200,0.045623,1710702592,1712619520,rust,4.410117
5000000,mutation,clustered,range_scan,prolly-compare-v1,3,5.473,5.319,5.736,0.031304,1915371520,1944862720,35.898,34.721,38.786,0.046830,1710702592,1712619520,rust,6.558752
5000000,mutation,clustered,write,prolly-compare-v1,3,483.650,472.524,485.550,0.011955,1915371520,1944862720,730.561,727.399,737.292,0.005638,1710702592,1712619520,rust,1.510515
5000000,mutation,random,point_read,prolly-compare-v1,3,728.940,720.785,748.665,0.015972,3879239680,3880026112,1653.751,1610.959,1653.952,0.012332,6431965184,7727857664,rust,2.268708
5000000,mutation,random,range_scan,prolly-compare-v1,3,5.388,5.286,5.537,0.019049,3879239680,3880026112,38.692,36.864,39.120,0.025592,6431965184,7727857664,rust,7.180870
5000000,mutation,random,write,prolly-compare-v1,3,2110.098,2098.296,2110.136,0.002646,3879239680,3880026112,10058.776,9868.689,10283.257,0.016826,6431965184,7727857664,rust,4.766971
10000000,fresh,append,point_read,prolly-compare-v1,3,973.806,892.293,1034.309,0.060187,2722889728,2723414016,1745.676,1505.980,1775.106,0.071933,3779264512,3779280896,rust,1.792633
10000000,fresh,append,range_scan,prolly-compare-v1,3,6.128,5.950,6.336,0.025731,2722889728,2723414016,41.302,39.893,41.655,0.018587,3779264512,3779280896,rust,6.739758
10000000,fresh,append,write,prolly-compare-v1,3,284.259,269.494,286.666,0.027099,2722889728,2723414016,1078.917,1049.170,1094.121,0.017381,3779264512,3779280896,rust,3.795541
10000000,fresh,clustered,point_read,prolly-compare-v1,3,1052.953,977.017,1081.862,0.042626,2723233792,2723676160,1805.868,1782.151,1817.855,0.008233,4154408960,4161601536,rust,1.715052
10000000,fresh,clustered,range_scan,prolly-compare-v1,3,5.943,5.928,6.106,0.013404,2723233792,2723676160,42.326,42.048,42.604,0.005368,4154408960,4161601536,rust,7.121551
10000000,fresh,clustered,write,prolly-compare-v1,3,414.863,397.376,479.692,0.082225,2723233792,2723676160,928.817,912.686,962.795,0.022343,4154408960,4161601536,rust,2.238855
10000000,fresh,random,point_read,prolly-compare-v1,3,1042.014,987.325,1065.225,0.031659,2748334080,2751365120,1801.918,1772.918,1841.738,0.015625,18556862464,19328483328,rust,1.729265
10000000,fresh,random,range_scan,prolly-compare-v1,3,5.888,5.811,5.914,0.007498,2748334080,2751365120,45.227,45.136,46.131,0.009877,18556862464,19328483328,rust,7.681128
10000000,fresh,random,write,prolly-compare-v1,3,845.166,786.738,975.615,0.090840,2748334080,2751365120,7447.262,7188.184,8005.563,0.045192,18556862464,19328483328,rust,8.811593
10000000,mutation,append,point_read,prolly-compare-v1,3,135.575,133.157,135.887,0.009045,3289726976,3290185728,582.000,574.010,773.853,0.143608,3390865408,3390930944,rust,4.292824
10000000,mutation,append,range_scan,prolly-compare-v1,3,6.875,6.825,6.965,0.008435,3289726976,3290185728,43.320,40.700,66.202,0.228740,3390865408,3390930944,rust,6.301425
10000000,mutation,append,write,prolly-compare-v1,3,333.334,290.342,363.773,0.091519,3289726976,3290185728,1144.025,1142.602,1148.740,0.002291,3390865408,3390930944,rust,3.432067
10000000,mutation,clustered,point_read,prolly-compare-v1,3,122.241,115.667,123.716,0.029028,4222369792,4300242944,547.226,541.229,565.345,0.018596,3388375040,3393634304,rust,4.476609
10000000,mutation,clustered,range_scan,prolly-compare-v1,3,5.958,5.830,8.224,0.164827,4222369792,4300242944,41.183,40.789,41.731,0.009358,3388375040,3393634304,rust,6.912468
10000000,mutation,clustered,write,prolly-compare-v1,3,510.930,491.629,522.396,0.024976,4222369792,4300242944,768.617,768.308,770.095,0.001014,3388375040,3393634304,rust,1.504350
10000000,mutation,random,point_read,prolly-compare-v1,3,1043.201,1022.110,4444.968,0.741260,7736868864,8357625856,4633.052,2497.269,7533.387,0.422240,19261865984,19566395392,rust,4.441188
10000000,mutation,random,range_scan,prolly-compare-v1,3,6.049,5.941,19.519,0.607021,7736868864,8357625856,67.932,44.917,99.068,0.314126,19261865984,19566395392,rust,11.230607
10000000,mutation,random,write,prolly-compare-v1,3,2547.499,2421.407,2633.646,0.034392,7736868864,8357625856,12886.517,12821.069,13568.434,0.025813,19261865984,19566395392,rust,5.058498
