revision,adapter,records,changes,api,pattern,run,total_ns,operations_per_sec,p50_ns,p95_ns,root,node_count,byte_count,value_valid,count_valid,root_valid,reopen_valid
sqlite-balanced6-final-v2,memory-sync,1000000,150000,batch,append,1,51948125,2887495.9394588354,51948125,51948125,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,batch,append,1,53948708,2780418.763689392,53948708,53948708,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,batch,random,1,234567500,639474.7780489625,234567500,234567500,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,batch,random,1,213865875,701374.1673373557,213865875,213865875,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,batch,clustered,1,61242667,2449272.824777536,61242667,61242667,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,batch,clustered,1,69701958,2152019.8901729565,69701958,69701958,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,build,append,1,370306833,2700463.2669038544,370306833,370306833,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,build,append,1,335105667,2984133.35994106,335105667,335105667,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,build,random,1,670979416,1490358.6848631434,670979416,670979416,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,build,random,1,705205458,1418026.461162188,705205458,705205458,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,build,clustered,1,442204875,2261395.2412894587,442204875,442204875,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,build,clustered,1,446644209,2238918.5392975733,446644209,446644209,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,diff,append,1,17477250,8582585.933141656,17477250,17477250,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,diff,append,1,19061125,7869420.089317917,19061125,19061125,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,diff,random,1,112829917,1329434.639218958,112829917,112829917,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,diff,random,1,101548166,1477131.5515437275,101548166,101548166,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,diff,clustered,1,21905209,6847686.319724226,21905209,21905209,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,diff,clustered,1,22594083,6638906.301264805,22594083,22594083,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,merge,append,1,82750667,3625348.421662873,82750667,82750667,7a4b61ffc8e32f0f372fa3aaebab6988885f71128384f51c1a0a428722c276dc,9974,38456519,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,merge,append,1,82070458,3655395.7088919864,82070458,82070458,7a4b61ffc8e32f0f372fa3aaebab6988885f71128384f51c1a0a428722c276dc,9974,38456519,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,merge,random,1,798335958,375781.645551283,798335958,798335958,6709a9f60bb9f89c07c8b85329eebb082db61c8759f25c3b18e8ed3affcd9c79,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,merge,random,1,806038041,372190.87033139175,806038041,806038041,6709a9f60bb9f89c07c8b85329eebb082db61c8759f25c3b18e8ed3affcd9c79,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,merge,clustered,1,11417291,26275935.33352176,11417291,11417291,69a73d0b31311999d87a6c97991112aaa05b39a78aa46b8d1e8eaca40eb561e3,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,merge,clustered,1,11243750,26681489.71650917,11243750,11243750,69a73d0b31311999d87a6c97991112aaa05b39a78aa46b8d1e8eaca40eb561e3,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,batch,append,2,54090417,2773134.472230081,54090417,54090417,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,batch,append,2,50330750,2980285.4119996224,50330750,50330750,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,batch,random,2,215773042,695174.8865829124,215773042,215773042,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,batch,random,2,236616875,633936.1890397716,236616875,236616875,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,batch,clustered,2,66505416,2255455.4053161624,66505416,66505416,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,batch,clustered,2,60817334,2466402.0951658287,60817334,60817334,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,build,append,2,363272750,2752752.5805334975,363272750,363272750,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,build,append,2,367973375,2717587.9233110277,367973375,367973375,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,build,random,2,691191583,1446776.8772004852,691191583,691191583,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,build,random,2,716302833,1396057.5805791907,716302833,716302833,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,build,clustered,2,420193084,2379858.303427003,420193084,420193084,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,build,clustered,2,427826459,2337396.341351576,427826459,427826459,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,diff,append,2,17987750,8339008.491890314,17987750,17987750,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,diff,append,2,19706583,7611669.663888458,19706583,19706583,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,diff,random,2,105747250,1418476.6034104906,105747250,105747250,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,diff,random,2,104847417,1430650.4088698723,104847417,104847417,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,diff,clustered,2,23059667,6504864.098861446,23059667,23059667,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,diff,clustered,2,23515000,6378907.080586859,23515000,23515000,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,merge,append,2,85707167,3500290.704976866,85707167,85707167,7a4b61ffc8e32f0f372fa3aaebab6988885f71128384f51c1a0a428722c276dc,9974,38456519,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,merge,append,2,83583875,3589209.0430121836,83583875,83583875,7a4b61ffc8e32f0f372fa3aaebab6988885f71128384f51c1a0a428722c276dc,9974,38456519,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,merge,random,2,779072083,385073.482346819,779072083,779072083,6709a9f60bb9f89c07c8b85329eebb082db61c8759f25c3b18e8ed3affcd9c79,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,merge,random,2,763432750,392961.92100744956,763432750,763432750,6709a9f60bb9f89c07c8b85329eebb082db61c8759f25c3b18e8ed3affcd9c79,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,merge,clustered,2,10999875,27273037.193604473,10999875,10999875,69a73d0b31311999d87a6c97991112aaa05b39a78aa46b8d1e8eaca40eb561e3,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,merge,clustered,2,11513000,26057500.217145834,11513000,11513000,69a73d0b31311999d87a6c97991112aaa05b39a78aa46b8d1e8eaca40eb561e3,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,batch,append,3,49352667,3039349.423608657,49352667,49352667,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,batch,append,3,54924625,2731015.459823349,54924625,54924625,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,batch,random,3,231105250,649054.9219457369,231105250,231105250,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,batch,random,3,209082542,717420.0130013725,209082542,209082542,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,batch,clustered,3,63940917,2345915.683380018,63940917,63940917,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,batch,clustered,3,70189708,2137065.4512482085,70189708,70189708,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,build,append,3,367113209,2723955.3780261828,367113209,367113209,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,build,append,3,346711959,2884238.556074727,346711959,346711959,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,build,random,3,800219584,1249656.994148246,800219584,800219584,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,build,random,3,730597500,1368742.7071677633,730597500,730597500,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,build,clustered,3,435395875,2296760.3907593293,435395875,435395875,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,build,clustered,3,438750375,2279200.331167808,438750375,438750375,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,diff,append,3,18125625,8275576.704251578,18125625,18125625,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,diff,append,3,18544834,8088505.941870389,18544834,18544834,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,diff,random,3,108330709,1384648.9272030888,108330709,108330709,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,diff,random,3,105387583,1423317.5838181998,105387583,105387583,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,diff,clustered,3,23386333,6414002.571501912,23386333,23386333,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,diff,clustered,3,22762250,6589858.208217553,22762250,22762250,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,merge,append,3,85189084,3521577.9524052637,85189084,85189084,7a4b61ffc8e32f0f372fa3aaebab6988885f71128384f51c1a0a428722c276dc,9974,38456519,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,merge,append,3,87160833,3441912.951887461,87160833,87160833,7a4b61ffc8e32f0f372fa3aaebab6988885f71128384f51c1a0a428722c276dc,9974,38456519,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,merge,random,3,772181417,388509.7379907551,772181417,772181417,6709a9f60bb9f89c07c8b85329eebb082db61c8759f25c3b18e8ed3affcd9c79,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,merge,random,3,777701583,385752.07580617716,777701583,777701583,6709a9f60bb9f89c07c8b85329eebb082db61c8759f25c3b18e8ed3affcd9c79,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,merge,clustered,3,11283750,26586905.948820204,11283750,11283750,69a73d0b31311999d87a6c97991112aaa05b39a78aa46b8d1e8eaca40eb561e3,7676,29582168,true,true,true,true
