implementation,revision,contract_version,records,density,locality,operation,relationship,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_digest,result_count,base_count,target_count,conflict_count,validated,repetition,peak_rss_bytes
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,full_diff,compare,300000,17469500,58.232,17172786.857,a01bb8658abf9252,455045c6a9e6e6bb,300000,1000000,1300000,0,true,1,582123520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,range_diff,compare,129999,9464584,72.805,13735310.501,a01bb8658abf9252,5319ad9b0b1871fd,129999,1000000,1300000,0,true,1,582123520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,patch_generate,compare,300000,625,0.002,480000000000.000,a01bb8658abf9252,455045c6a9e6e6bb,1,1000000,1300000,0,true,1,582123520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,patch_apply,compare,300000,3792,0.013,79113924050.633,a01bb8658abf9252,d886014f8b9c5c5b,1300000,1000000,1300000,0,true,1,582123520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,merge_disjoint,disjoint,600000,201584,0.336,2976426700.532,0c87257f77c523ff,1c05b4e58c497604,1600000,1000000,1600000,0,true,1,582123520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,merge_convergent,convergent,300000,208,0.001,1442307692307.692,5515de15f91a0423,d886014f8b9c5c5b,1300000,1000000,1300000,0,true,1,582123520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,merge_conflict,conflict,300000,12562792,41.876,23880041.952,be0eb92f59351401,d886014f8b9c5c5b,1300000,1000000,1300000,300000,true,1,582123520
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,full_diff,compare,300000,74117625,247.059,4047620.252,a01bb8658abf9252,455045c6a9e6e6bb,300000,1000000,1300000,0,true,1,686260224
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,range_diff,compare,129999,27534666,211.807,4721284.798,a01bb8658abf9252,5319ad9b0b1871fd,129999,1000000,1300000,0,true,1,686260224
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,patch_generate,compare,300000,15042,0.050,19944156362.186,a01bb8658abf9252,455045c6a9e6e6bb,2,1000000,1300000,0,true,1,686260224
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,patch_apply,compare,300000,89250,0.297,3361344537.815,a01bb8658abf9252,d886014f8b9c5c5b,1300000,1000000,1300000,0,true,1,686260224
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,merge_disjoint,disjoint,600000,574500,0.958,1044386422.977,0c87257f77c523ff,1c05b4e58c497604,1600000,1000000,1600000,0,true,1,686260224
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,merge_convergent,convergent,300000,73666,0.246,4072435044.661,5515de15f91a0423,d886014f8b9c5c5b,1300000,1000000,1300000,0,true,1,686260224
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,merge_conflict,conflict,300000,165295292,550.984,1814933.725,be0eb92f59351401,d886014f8b9c5c5b,1300000,1000000,1300000,300000,true,1,686260224
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,full_diff,compare,300000,34051959,113.507,8810065.817,b8581c4db720b358,9859f2ba1e7c81aa,300000,1000000,1000000,0,true,1,809091072
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,range_diff,compare,33000,3921042,118.819,8416130.202,b8581c4db720b358,d55eb157d861d079,33000,1000000,1000000,0,true,1,809091072
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,patch_generate,compare,300000,875,0.003,342857142857.143,b8581c4db720b358,9859f2ba1e7c81aa,1,1000000,1000000,0,true,1,809091072
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,patch_apply,compare,300000,3166,0.011,94756790903.348,b8581c4db720b358,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,1,809091072
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,merge_disjoint,disjoint,600000,20923333,34.872,28676119.622,897a3fbe27f9f716,8e22fd33ee81d821,1000000,1000000,1000000,0,true,1,809091072
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,merge_convergent,convergent,300000,375,0.001,800000000000.000,bcaf8c1118d450b7,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,1,809091072
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,merge_conflict,conflict,300000,24406959,81.357,12291576.349,848bd73f067f1244,f31be0f6a00d4d78,1000000,1000000,1000000,300000,true,1,809091072
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,full_diff,compare,300000,89575333,298.584,3349136.307,b8581c4db720b358,9859f2ba1e7c81aa,300000,1000000,1000000,0,true,1,764854272
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,range_diff,compare,33000,9623916,291.634,3428957.609,b8581c4db720b358,d55eb157d861d079,33000,1000000,1000000,0,true,1,764854272
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,patch_generate,compare,300000,14333,0.048,20930719319.054,b8581c4db720b358,9859f2ba1e7c81aa,3,1000000,1000000,0,true,1,764854272
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,patch_apply,compare,300000,31375,0.105,9561752988.048,b8581c4db720b358,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,1,764854272
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,merge_disjoint,disjoint,600000,100400416,167.334,5976070.856,897a3fbe27f9f716,8e22fd33ee81d821,1000000,1000000,1000000,0,true,1,764854272
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,merge_convergent,convergent,300000,288250,0.961,1040763226.366,bcaf8c1118d450b7,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,1,764854272
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,merge_conflict,conflict,300000,191380167,637.934,1567560.551,848bd73f067f1244,f31be0f6a00d4d78,1000000,1000000,1000000,300000,true,1,764854272
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,full_diff,compare,300000,38713625,129.045,7749209.742,f5bbffd2f90d5447,bac0c6cb54bcadb3,300000,1000000,1000000,0,true,1,1204633600
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,range_diff,compare,32699,4256125,130.161,7682810.068,f5bbffd2f90d5447,b9dc4143db568235,32699,1000000,1000000,0,true,1,1204633600
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,patch_generate,compare,300000,250,0.001,1200000000000.000,f5bbffd2f90d5447,bac0c6cb54bcadb3,1,1000000,1000000,0,true,1,1204633600
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,patch_apply,compare,300000,5833,0.019,51431510372.021,f5bbffd2f90d5447,52861eca8735cd56,1000000,1000000,1000000,0,true,1,1204633600
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,merge_disjoint,disjoint,600000,303989958,506.650,1973749.409,3f9305d60a460d71,80e5593019e99ccd,1000000,1000000,1000000,0,true,1,1204633600
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,merge_convergent,convergent,300000,292,0.001,1027397260273.973,01cb4cf0226d997f,52861eca8735cd56,1000000,1000000,1000000,0,true,1,1204633600
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,merge_conflict,conflict,300000,45067542,150.225,6656675.441,e50c0661870f2db7,52861eca8735cd56,1000000,1000000,1000000,300000,true,1,1204633600
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,random,full_diff,compare,300000,137593583,458.645,2180334.238,f5bbffd2f90d5447,bac0c6cb54bcadb3,300000,1000000,1000000,0,true,1,1254391808
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,random,range_diff,compare,32699,14327042,438.149,2282327.364,f5bbffd2f90d5447,b9dc4143db568235,32699,1000000,1000000,0,true,1,1254391808
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,random,patch_generate,compare,300000,13583,0.045,22086431568.873,f5bbffd2f90d5447,bac0c6cb54bcadb3,4,1000000,1000000,0,true,1,1254391808
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,random,patch_apply,compare,300000,33792,0.113,8877840909.091,f5bbffd2f90d5447,52861eca8735cd56,1000000,1000000,1000000,0,true,1,1254391808
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,random,merge_disjoint,disjoint,600000,511818375,853.031,1172290.854,3f9305d60a460d71,80e5593019e99ccd,1000000,1000000,1000000,0,true,1,1254391808
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,random,merge_convergent,convergent,300000,24387500,81.292,12301383.906,01cb4cf0226d997f,52861eca8735cd56,1000000,1000000,1000000,0,true,1,1254391808
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,random,merge_conflict,conflict,300000,302735708,1009.119,990963.379,e50c0661870f2db7,52861eca8735cd56,1000000,1000000,1000000,300000,true,1,1254391808
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,full_diff,compare,300000,16502459,55.008,18179108.944,a01bb8658abf9252,455045c6a9e6e6bb,300000,1000000,1300000,0,true,2,582123520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,range_diff,compare,129999,9363875,72.030,13883034.534,a01bb8658abf9252,5319ad9b0b1871fd,129999,1000000,1300000,0,true,2,582123520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,patch_generate,compare,300000,708,0.002,423728813559.322,a01bb8658abf9252,455045c6a9e6e6bb,1,1000000,1300000,0,true,2,582123520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,patch_apply,compare,300000,3333,0.011,90009000900.090,a01bb8658abf9252,d886014f8b9c5c5b,1300000,1000000,1300000,0,true,2,582123520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,merge_disjoint,disjoint,600000,176375,0.294,3401842664.777,0c87257f77c523ff,1c05b4e58c497604,1600000,1000000,1600000,0,true,2,582123520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,merge_convergent,convergent,300000,500,0.002,600000000000.000,5515de15f91a0423,d886014f8b9c5c5b,1300000,1000000,1300000,0,true,2,582123520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,merge_conflict,conflict,300000,16528708,55.096,18150238.966,be0eb92f59351401,d886014f8b9c5c5b,1300000,1000000,1300000,300000,true,2,582123520
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,full_diff,compare,300000,63593333,211.978,4717475.651,a01bb8658abf9252,455045c6a9e6e6bb,300000,1000000,1300000,0,true,2,727793664
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,range_diff,compare,129999,26186208,201.434,4964407.218,a01bb8658abf9252,5319ad9b0b1871fd,129999,1000000,1300000,0,true,2,727793664
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,patch_generate,compare,300000,11250,0.037,26666666666.667,a01bb8658abf9252,455045c6a9e6e6bb,2,1000000,1300000,0,true,2,727793664
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,patch_apply,compare,300000,88208,0.294,3401052058.770,a01bb8658abf9252,d886014f8b9c5c5b,1300000,1000000,1300000,0,true,2,727793664
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,merge_disjoint,disjoint,600000,656042,1.093,914575591.197,0c87257f77c523ff,1c05b4e58c497604,1600000,1000000,1600000,0,true,2,727793664
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,merge_convergent,convergent,300000,149167,0.497,2011168690.126,5515de15f91a0423,d886014f8b9c5c5b,1300000,1000000,1300000,0,true,2,727793664
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,merge_conflict,conflict,300000,147898834,492.996,2028413.557,be0eb92f59351401,d886014f8b9c5c5b,1300000,1000000,1300000,300000,true,2,727793664
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,full_diff,compare,300000,38685750,128.952,7754793.432,b8581c4db720b358,9859f2ba1e7c81aa,300000,1000000,1000000,0,true,2,809107456
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,range_diff,compare,33000,4042459,122.499,8163348.101,b8581c4db720b358,d55eb157d861d079,33000,1000000,1000000,0,true,2,809107456
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,patch_generate,compare,300000,542,0.002,553505535055.351,b8581c4db720b358,9859f2ba1e7c81aa,1,1000000,1000000,0,true,2,809107456
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,patch_apply,compare,300000,2959,0.010,101385603244.339,b8581c4db720b358,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,2,809107456
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,merge_disjoint,disjoint,600000,21505292,35.842,27900109.424,897a3fbe27f9f716,8e22fd33ee81d821,1000000,1000000,1000000,0,true,2,809107456
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,merge_convergent,convergent,300000,458,0.002,655021834061.135,bcaf8c1118d450b7,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,2,809107456
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,merge_conflict,conflict,300000,25699500,85.665,11673378.860,848bd73f067f1244,f31be0f6a00d4d78,1000000,1000000,1000000,300000,true,2,809107456
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,full_diff,compare,300000,86388542,287.962,3472682.755,b8581c4db720b358,9859f2ba1e7c81aa,300000,1000000,1000000,0,true,2,713588736
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,range_diff,compare,33000,8959500,271.500,3683241.252,b8581c4db720b358,d55eb157d861d079,33000,1000000,1000000,0,true,2,713588736
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,patch_generate,compare,300000,13292,0.044,22569966897.382,b8581c4db720b358,9859f2ba1e7c81aa,3,1000000,1000000,0,true,2,713588736
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,patch_apply,compare,300000,28958,0.097,10359831480.075,b8581c4db720b358,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,2,713588736
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,merge_disjoint,disjoint,600000,99027791,165.046,6058905.222,897a3fbe27f9f716,8e22fd33ee81d821,1000000,1000000,1000000,0,true,2,713588736
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,merge_convergent,convergent,300000,311208,1.037,963985501.658,bcaf8c1118d450b7,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,2,713588736
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,clustered,merge_conflict,conflict,300000,187462291,624.874,1600321.848,848bd73f067f1244,f31be0f6a00d4d78,1000000,1000000,1000000,300000,true,2,713588736
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,full_diff,compare,300000,43393625,144.645,6913457.910,f5bbffd2f90d5447,bac0c6cb54bcadb3,300000,1000000,1000000,0,true,2,1204715520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,range_diff,compare,32699,4297750,131.434,7608399.744,f5bbffd2f90d5447,b9dc4143db568235,32699,1000000,1000000,0,true,2,1204715520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,patch_generate,compare,300000,666,0.002,450450450450.450,f5bbffd2f90d5447,bac0c6cb54bcadb3,1,1000000,1000000,0,true,2,1204715520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,patch_apply,compare,300000,5167,0.017,58060770272.886,f5bbffd2f90d5447,52861eca8735cd56,1000000,1000000,1000000,0,true,2,1204715520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,merge_disjoint,disjoint,600000,309366667,515.611,1939446.178,3f9305d60a460d71,80e5593019e99ccd,1000000,1000000,1000000,0,true,2,1204715520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,merge_convergent,convergent,300000,583,0.002,514579759862.779,01cb4cf0226d997f,52861eca8735cd56,1000000,1000000,1000000,0,true,2,1204715520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,random,merge_conflict,conflict,300000,41900125,139.667,7159883.175,e50c0661870f2db7,52861eca8735cd56,1000000,1000000,1000000,300000,true,2,1204715520
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,random,full_diff,compare,300000,142573125,475.244,2104183.380,f5bbffd2f90d5447,bac0c6cb54bcadb3,300000,1000000,1000000,0,true,2,1290010624
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,random,range_diff,compare,32699,15524750,474.778,2106249.698,f5bbffd2f90d5447,b9dc4143db568235,32699,1000000,1000000,0,true,2,1290010624
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,random,patch_generate,compare,300000,14292,0.048,20990764063.812,f5bbffd2f90d5447,bac0c6cb54bcadb3,4,1000000,1000000,0,true,2,1290010624
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,random,patch_apply,compare,300000,40250,0.134,7453416149.068,f5bbffd2f90d5447,52861eca8735cd56,1000000,1000000,1000000,0,true,2,1290010624
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,random,merge_disjoint,disjoint,600000,512948625,854.914,1169707.785,3f9305d60a460d71,80e5593019e99ccd,1000000,1000000,1000000,0,true,2,1290010624
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,random,merge_convergent,convergent,300000,25626834,85.423,11706479.232,01cb4cf0226d997f,52861eca8735cd56,1000000,1000000,1000000,0,true,2,1290010624
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,random,merge_conflict,conflict,300000,337892583,1126.309,887856.127,e50c0661870f2db7,52861eca8735cd56,1000000,1000000,1000000,300000,true,2,1290010624
