schema,revision,dirty,records,repetition,operation,pattern,cache_state,configured_operations,observed_operations,total_ns,ns_per_operation,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,nodes_read,nodes_written,bytes_read,bytes_written,cache_hits,cache_misses,cache_evictions,result_entries,num_nodes,num_leaves,num_internal,height,tree_bytes,db_bytes,wal_bytes,shm_bytes,total_database_bytes,expected_entries,observed_entries,error,validated
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,10000,1,put,append,not-applicable,100,100,20592166,205921.66,4856.215708439802,124791,302625,2406375,4113125,3,300,14387,791167,497,3,0,10100,88,85,3,2,1057781,2424832,4148872,32768,6606472,10100,10100,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,10000,1,put,random,not-applicable,100,100,35649083,356490.83,2805.1212425295766,202834,1138250,3164708,5229417,54,300,807512,2057130,746,54,0,10000,87,84,3,2,1047293,3129344,4148872,32768,7310984,10000,10000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,10000,1,put,clustered,not-applicable,100,100,26142250,261422.5,3825.225449224914,192584,348083,1333333,4885833,4,300,35555,2323900,796,4,0,10000,87,84,3,2,1047293,3084288,4161232,32768,7278288,10000,10000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,10000,1,batch,append,not-applicable,100,100,1453833,14538.33,68783.69111170265,,,,,3,4,14387,24875,2,3,0,10100,88,85,3,2,1057781,1220608,49472,32768,1302848,10100,10100,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,10000,1,batch,random,not-applicable,100,100,9552875,95528.75,10468.052811326432,,,,,54,54,807512,807512,5,54,0,10000,87,84,3,2,1047293,1220608,976472,32768,2229848,10000,10000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,10000,1,batch,clustered,not-applicable,100,100,1847959,18479.59,54113.75468828042,,,,,4,3,35555,23239,4,4,0,10000,87,84,3,2,1047293,1220608,49472,32768,1302848,10000,10000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,10000,1,point-read,append,cold-manager,100,100,850834,8508.34,117531.73944623747,209,292,875,826042,3,0,14387,0,99,3,0,10000,87,84,3,2,1047293,1220608,0,32768,1253376,10000,10000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,10000,1,point-read,append,warm-manager,100,100,24166,241.66,4138045.1874534474,208,250,250,333,0,0,0,0,100,0,0,10000,87,84,3,2,1047293,1220608,0,32768,1253376,10000,10000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,10000,1,point-read,random,cold-manager,100,100,7217167,72171.67,13855.852303265256,22750,217334,687375,1095208,54,0,807512,0,246,54,0,10000,87,84,3,2,1047293,1220608,0,32768,1253376,10000,10000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,10000,1,point-read,random,warm-manager,100,100,411125,4111.25,243235.02584372152,4208,4292,4333,4375,0,0,0,0,294,0,0,10000,87,84,3,2,1047293,1220608,0,32768,1253376,10000,10000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,10000,1,point-read,clustered,cold-manager,100,100,1093791,10937.91,91425.14429173397,209,333,708,1067875,3,0,23239,0,99,3,0,10000,87,84,3,2,1047293,1220608,0,32768,1253376,10000,10000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,10000,1,point-read,clustered,warm-manager,100,100,24916,249.16,4013485.3106437633,209,250,333,333,0,0,0,0,100,0,0,10000,87,84,3,2,1047293,1220608,0,32768,1253376,10000,10000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,10000,1,range-scan,append,not-applicable,100,100,582000,5820.0,171821.3058419244,,,,,3,0,14387,0,0,3,0,10000,87,84,3,2,1047293,1220608,0,32768,1253376,10000,10000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,10000,1,range-scan,random,not-applicable,100,100,2064959,20649.59,48427.1116278822,,,,,4,0,47529,0,0,4,0,10000,87,84,3,2,1047293,1220608,0,32768,1253376,10000,10000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,10000,1,range-scan,clustered,not-applicable,100,100,859292,8592.92,116374.876060757,,,,,3,0,23239,0,0,3,0,10000,87,84,3,2,1047293,1220608,0,32768,1253376,10000,10000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,50000,1,put,append,not-applicable,500,500,130225167,260450.334,3839.5036191429876,128042,533167,3992250,8829916,3,1500,4062,3501490,2497,3,0,50500,405,400,5,2,5286519,10956800,4169472,32768,15159040,50500,50500,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,50000,1,put,random,not-applicable,500,500,233533791,467067.582,2141.0177853019995,265625,889000,6827917,11424500,234,1500,4281000,15199430,3766,234,0,50000,398,393,5,2,5233968,22454272,4190072,32768,26677112,50000,50000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,50000,1,put,clustered,not-applicable,500,500,237168666,474337.332,2108.2042937324613,268750,813375,7396583,13383416,8,1500,87121,17425098,3992,8,0,50000,398,393,5,2,5233968,23564288,4177712,32768,27774768,50000,50000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,50000,1,batch,append,not-applicable,500,500,13790542,27581.084,36256.73305661228,,,,,3,10,4062,56613,2,3,0,50500,405,400,5,2,5286519,5971968,156592,32768,6161328,50500,50500,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,50000,1,batch,random,not-applicable,500,500,93536292,187072.584,5345.51872122534,,,,,234,233,4281000,4280032,4,234,0,50000,398,393,5,2,5233968,10637312,4972872,32768,15642952,50000,50000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,50000,1,batch,clustered,not-applicable,500,500,12986875,25973.75,38500.40906684633,,,,,8,6,87121,83254,3,8,0,50000,398,393,5,2,5233968,5971968,160712,32768,6165448,50000,50000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,50000,1,point-read,append,cold-manager,500,500,9516125,19032.25,52542.395145082686,209,4334,207042,5185542,8,0,79808,0,608,8,0,50000,398,393,5,2,5233968,5971968,0,32768,6004736,50000,50000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,50000,1,point-read,append,warm-manager,500,500,384708,769.416,1299687.0353618849,209,4334,4500,4958,0,0,0,0,628,0,0,50000,398,393,5,2,5233968,5971968,0,32768,6004736,50000,50000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,50000,1,point-read,random,cold-manager,500,500,63164166,126328.332,7915.880659296603,5167,613750,1099792,4404500,233,0,4280032,0,1261,233,0,50000,398,393,5,2,5233968,5971968,0,32768,6004736,50000,50000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,50000,1,point-read,random,warm-manager,500,500,2217500,4435.0,225479.14317925595,4416,4709,4875,5833,0,0,0,0,1492,0,0,50000,398,393,5,2,5233968,5971968,0,32768,6004736,50000,50000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,50000,1,point-read,clustered,cold-manager,500,500,7221333,14442.666,69239.29418571336,209,4333,4708,4360125,6,0,83254,0,592,6,0,50000,398,393,5,2,5233968,5971968,0,32768,6004736,50000,50000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,50000,1,point-read,clustered,warm-manager,500,500,418958,837.916,1193437.0509693096,209,4458,4583,19958,0,0,0,0,628,0,0,50000,398,393,5,2,5233968,5971968,0,32768,6004736,50000,50000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,50000,1,range-scan,append,not-applicable,500,500,8382459,16764.918,59648.36809819171,,,,,8,0,79808,0,0,8,0,50000,398,393,5,2,5233968,5971968,0,32768,6004736,50000,50000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,50000,1,range-scan,random,not-applicable,500,500,7513458,15026.916,66547.25427359813,,,,,8,0,80172,0,0,8,0,50000,398,393,5,2,5233968,5971968,0,32768,6004736,50000,50000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,50000,1,range-scan,clustered,not-applicable,500,500,7284375,14568.75,68640.06864006864,,,,,6,0,83254,0,0,6,0,50000,398,393,5,2,5233968,5971968,0,32768,6004736,50000,50000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,100000,1,put,append,not-applicable,1000,1000,397809000,397809.0,2513.7691706321375,194209,925208,6654041,27493208,3,3000,17065,14571501,4997,3,0,101000,794,783,11,2,10571929,27672576,4177712,32768,31883056,101000,101000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,100000,1,put,random,not-applicable,1000,1000,566107708,566107.708,1766.4483028024765,297083,1119417,9074334,31481459,467,3000,8619729,30917173,7533,467,0,100000,787,776,11,2,10467310,46129152,4231272,32768,50393192,100000,100000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,100000,1,put,clustered,not-applicable,1000,1000,417554625,417554.625,2394.8962366301175,207625,1032208,6683459,14865250,17,3000,173258,21278642,7983,17,0,100000,787,776,11,2,10467310,35110912,4181832,32768,39325512,100000,100000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,100000,1,batch,append,not-applicable,1000,1000,19913417,19913.417,50217.398651371586,,,,,3,10,17065,121684,2,3,0,101000,794,783,11,2,10571929,11911168,210152,32768,12154088,101000,101000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,100000,1,batch,random,not-applicable,1000,1000,185978334,185978.334,5376.970416349681,,,,,467,467,8619729,8619729,5,467,0,100000,787,776,11,2,10467310,21360640,10056952,32768,31450360,100000,100000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,100000,1,batch,clustered,not-applicable,1000,1000,32948917,32948.917,30350.011200671634,,,,,17,15,173258,156639,3,17,0,100000,787,776,11,2,10467310,11911168,288432,32768,12232368,100000,100000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,100000,1,point-read,append,cold-manager,1000,1000,118097291,118097.291,8467.59473932387,208,4208,9333,55528292,8,0,111760,0,1122,8,0,100000,787,776,11,2,10467310,11911168,0,32768,11943936,100000,100000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,100000,1,point-read,append,warm-manager,1000,1000,561459,561.459,1781073.9519715596,208,4167,4292,5083,0,0,0,0,1160,0,0,100000,787,776,11,2,10467310,11911168,0,32768,11943936,100000,100000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,100000,1,point-read,random,cold-manager,1000,1000,820117417,820117.417,1219.337596387128,5334,5252584,12526959,38809500,467,0,8619729,0,2527,467,0,100000,787,776,11,2,10467310,11911168,0,32768,11943936,100000,100000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,100000,1,point-read,random,warm-manager,1000,1000,4979500,4979.5,200823.37584094788,4584,8125,9292,14375,0,0,0,0,3000,0,0,100000,787,776,11,2,10467310,11911168,0,32768,11943936,100000,100000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,100000,1,point-read,clustered,cold-manager,1000,1000,212167917,212167.917,4713.247950678612,209,4500,8496375,49690041,15,0,156639,0,1339,15,0,100000,787,776,11,2,10467310,11911168,0,32768,11943936,100000,100000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,100000,1,point-read,clustered,warm-manager,1000,1000,1051750,1051.75,950796.2918944616,250,4416,4500,5417,0,0,0,0,1384,0,0,100000,787,776,11,2,10467310,11911168,0,32768,11943936,100000,100000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,100000,1,range-scan,append,not-applicable,1000,1000,36922250,36922.25,27083.93990073736,,,,,8,0,111760,0,0,8,0,100000,787,776,11,2,10467310,11911168,0,32768,11943936,100000,100000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,100000,1,range-scan,random,not-applicable,1000,1000,106856958,106856.958,9358.304959420611,,,,,9,0,117751,0,0,9,0,100000,787,776,11,2,10467310,11911168,0,32768,11943936,100000,100000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,100000,1,range-scan,clustered,not-applicable,1000,1000,19395959,19395.959,51557.131049823314,,,,,15,0,156639,0,0,15,0,100000,787,776,11,2,10467310,11911168,0,32768,11943936,100000,100000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,500000,1,put,append,not-applicable,5000,5000,3094600291,618920.0582,1615.7175498695124,263250,1101666,14541916,68074584,4,20000,14578,73064361,29996,4,0,505000,3887,3846,41,3,52853962,145362944,4214792,32768,149610504,505000,505000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,500000,1,put,random,not-applicable,5000,5000,3871650041,774330.0082,1291.4390368579286,389083,1278416,13443000,47305750,2215,20000,42289746,170688459,47785,2215,0,500000,3856,3815,41,3,52331178,259121152,4260112,32768,263414032,500000,500000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,500000,1,put,clustered,not-applicable,5000,5000,3886565834,777313.1668,1286.4827751686555,383959,1239917,14479708,81603875,48,20000,604860,170552751,49952,48,0,500000,3856,3815,41,3,52331178,265826304,4239512,32768,270098584,500000,500000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,500000,1,batch,append,not-applicable,5000,5000,74281500,14856.3,67311.5109414861,,,,,4,35,14578,537362,2,4,0,505000,3887,3846,41,3,52853962,59244544,947632,32768,60224944,505000,505000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,500000,1,batch,random,not-applicable,5000,5000,1072345792,214469.1584,4662.675078600019,,,,,2215,2213,42289746,42275901,4,2215,0,500000,3856,3815,41,3,52331178,105496576,49122792,98304,154717672,500000,500000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,500000,1,batch,clustered,not-applicable,5000,5000,123285000,24657.0,40556.43427829825,,,,,48,45,604860,590397,3,48,0,500000,3856,3815,41,3,52331178,59244544,1157752,32768,60435064,500000,500000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,500000,1,point-read,append,cold-manager,5000,5000,66931375,13386.275,74703.38088826055,209,4458,6667,9932125,43,0,532071,0,6592,43,0,500000,3856,3815,41,3,52331178,59244544,0,32768,59277312,500000,500000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,500000,1,point-read,append,warm-manager,5000,5000,3562625,712.525,1403459.527735869,208,4333,4500,17708,0,0,0,0,6680,0,0,500000,3856,3815,41,3,52331178,59244544,0,32768,59277312,500000,500000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,500000,1,point-read,random,cold-manager,5000,5000,698548167,139709.6334,7157.702555391574,5708,723250,1558584,10608125,2213,0,42275901,0,17784,2213,0,500000,3856,3815,41,3,52331178,59244544,0,32768,59277312,500000,500000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,500000,1,point-read,random,warm-manager,5000,5000,25218042,5043.6084,198270.7460000265,4916,5333,8500,42958,0,0,0,0,19988,0,0,500000,3856,3815,41,3,52331178,59244544,0,32768,59277312,500000,500000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,500000,1,point-read,clustered,cold-manager,5000,5000,65355250,13071.05,76504.94795750915,209,4458,5458,10492708,45,0,590397,0,6782,45,0,500000,3856,3815,41,3,52331178,59244544,0,32768,59277312,500000,500000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,500000,1,point-read,clustered,warm-manager,5000,5000,3730625,746.125,1340257.9996649355,208,4375,4500,7125,0,0,0,0,6872,0,0,500000,3856,3815,41,3,52331178,59244544,0,32768,59277312,500000,500000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,500000,1,range-scan,append,not-applicable,5000,5000,72963000,14592.6,68527.88399599797,,,,,43,0,532071,0,0,43,0,500000,3856,3815,41,3,52331178,59244544,0,32768,59277312,500000,500000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,500000,1,range-scan,random,not-applicable,5000,5000,71408917,14281.7834,70019.2666414476,,,,,40,0,536378,0,0,40,0,500000,3856,3815,41,3,52331178,59244544,0,32768,59277312,500000,500000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,500000,1,range-scan,clustered,not-applicable,5000,5000,61586208,12317.2416,81187.008623749,,,,,45,0,590397,0,0,45,0,500000,3856,3815,41,3,52331178,59244544,0,32768,59277312,500000,500000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,1000000,1,put,append,not-applicable,10000,10000,7464955250,746495.525,1339.5927591126551,365167,1184541,14655166,88669083,4,40000,17218,261213953,59996,4,0,1010000,7792,7717,75,3,105709170,441987072,4227152,32768,446246992,1010000,1010000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,1000000,1,put,random,not-applicable,10000,10000,10355515125,1035551.5125,965.6690062533224,424625,1488250,15618250,158211458,4466,40000,84894649,359922382,95534,4466,0,1000000,7719,7644,75,3,104662829,543858688,4268352,32768,548159808,1000000,1000000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,1000000,1,put,clustered,not-applicable,10000,10000,13373389500,1337338.95,747.7535893200449,446000,5418875,18679625,239703084,76,40000,1124951,418095387,99924,76,0,1000000,7719,7644,75,3,104662829,598355968,4243632,32768,602632368,1000000,1000000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,1000000,1,batch,append,not-applicable,10000,10000,1010265084,101026.5084,9898.39217288044,,,,,4,77,17218,1063559,2,4,0,1010000,7792,7717,75,3,105709170,118599680,1957032,32768,120589480,1010000,1010000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,1000000,1,batch,random,not-applicable,10000,10000,2137593333,213759.3333,4678.158303368923,,,,,4466,4465,84894649,84889204,5,4466,0,1000000,7719,7644,75,3,104662829,211427328,98612232,196608,310236168,1000000,1000000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,1000000,1,batch,clustered,not-applicable,10000,10000,228617833,22861.7833,43741.11970521565,,,,,76,74,1124951,1109900,4,76,0,1000000,7719,7644,75,3,104662829,118599680,1952912,32768,120585360,1000000,1000000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,1000000,1,point-read,append,cold-manager,10000,10000,161998125,16199.8125,61729.1095190145,209,4500,7208,16716042,86,0,1059405,0,13565,86,0,1000000,7719,7644,75,3,104662829,118599680,0,32768,118632448,1000000,1000000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,1000000,1,point-read,append,warm-manager,10000,10000,7555750,755.575,1323495.351222579,208,4166,4583,19542,0,0,0,0,13696,0,0,1000000,7719,7644,75,3,104662829,118599680,0,32768,118632448,1000000,1000000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,1000000,1,point-read,random,cold-manager,10000,10000,1496637167,149663.7167,6681.646173497707,6292,744291,1699125,12139458,4465,0,84889204,0,35520,4465,0,1000000,7719,7644,75,3,104662829,118599680,0,32768,118632448,1000000,1000000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,1000000,1,point-read,random,warm-manager,10000,10000,51303541,5130.3541,194918.31957564098,4750,7959,10000,41667,0,0,0,0,39994,0,0,1000000,7719,7644,75,3,104662829,118599680,0,32768,118632448,1000000,1000000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,1000000,1,point-read,clustered,cold-manager,10000,10000,125427500,12542.75,79727.33252277212,209,4417,5041,9848541,74,0,1109900,0,12953,74,0,1000000,7719,7644,75,3,104662829,118599680,0,32768,118632448,1000000,1000000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,1000000,1,point-read,clustered,warm-manager,10000,10000,6496167,649.6167,1539369.2926921367,208,4167,4417,12958,0,0,0,0,13072,0,0,1000000,7719,7644,75,3,104662829,118599680,0,32768,118632448,1000000,1000000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,1000000,1,range-scan,append,not-applicable,10000,10000,132455166,13245.5166,75497.24410144938,,,,,86,0,1059405,0,0,86,0,1000000,7719,7644,75,3,104662829,118599680,0,32768,118632448,1000000,1000000,,true
