schema,revision,dirty,adapter,records,repetition,build_ns,records_per_sec,database_bytes,observed_records,validated,error
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,10000,1,15172166,659101.6734196027,483328,10000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,10000,1,20738209,482201.7176121622,515008,10000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,50000,1,245929541,203310.26438178078,2375680,50000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,50000,1,139723083,357850.67811594164,2290728,50000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,100000,1,193752500,516122.3726145469,4747264,100000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,100000,1,371532584,269155.39660984353,4489296,100000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,500000,1,775725792,644557.6583329589,23547904,500000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,500000,1,886049875,564302.3198891598,22278224,500000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,1000000,1,755548167,1323542.3546464643,47177728,1000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,1000000,1,1259116250,794207.8422067859,44539984,1000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,2000000,1,1673277666,1195258.8865786009,94461952,2000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,2000000,1,2456830834,814056.8623293337,89223248,2000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,10000,2,12391958,806974.9752218333,515008,10000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,10000,2,7460833,1340332.909207323,483328,10000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,50000,2,59781500,836379.1473950972,2290728,50000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,50000,2,42317000,1181558.2390056006,2375680,50000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,100000,2,115737375,864025.1258506598,4489296,100000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,100000,2,75337292,1327363.8771088296,4747264,100000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,500000,2,604191500,827552.1916478467,22278224,500000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,500000,2,384158000,1301547.8006445265,23547904,500000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,1000000,2,1233445125,810737.3240459319,44539984,1000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,1000000,2,826389959,1210082.46664817,47177728,1000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,2000000,2,2501700292,799456.2763555851,89223248,2000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,2000000,2,2643637333,756533.4227332914,94461952,2000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,10000,3,13297083,752044.6401665689,483328,10000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,10000,3,13640708,733099.7775188795,515008,10000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,50000,3,74131583,674476.3564539017,2375680,50000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,50000,3,79681000,627502.1648824689,2290728,50000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,100000,3,101826041,982067.0529653608,4747264,100000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,100000,3,177932375,562011.2697309863,4489296,100000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,500000,3,708202458,706012.7995206704,23547904,500000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,500000,3,1124646125,444584.29090306076,22278224,500000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,1000000,3,926738500,1079053.0446290944,47177728,1000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,1000000,3,1290314750,775004.7033097933,44539984,1000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,2000000,3,1657021500,1206984.9425610953,94461952,2000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,2000000,3,2560448667,781113.1016906265,89223248,2000000,true,
